iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
ISR,Israel,2023,536700.0,,,24.8012939001848,6.46950092421442,17.09,17.82,7858.0,105.0,242.0,,,,,3.3670039068113247,8.334263990476124,2.0
ITA,Italy,2023,13087557.0,,,44.2565839307453,32.8944947923712,4.17,100.72,50458.0,633.0,1364.0,,,,9962282.0,1.3278739336070204,10.344157816583175,5.0
JAM,Jamaica,2023,417000.0,,,38.5041551246537,56.190757156048,8.73,2.38,10488.0,394.0,318.0,,,4025.182481751825,10000.0,5.626066102582291,15.47080215950865,1.0
JPN,Japan,2023,4607000.0,,,12.6368303066246,68.3957811364628,10.61,188.12,29339.0,2332.0,1719.0,,,,,2.6996895046523943,8.357323427708952,1.0
JOR,Jordan,2023,1024000.0,,,11.5323107417168,1.09804716534901,2.26,8.14,6669.0,7.0,109.0,,,66.82104187418376,75715.0,6.522288244071019,7.833918090373958,2.0
KAZ,Kazakhstan,2023,214265700.0,,,79.3664851650183,1.31214516427751,0.3,23.41,10997.0,77.0,172.0,,,5800.092585864549,42090227.6,43.69274101241586,4898.361206778148,2.0
KEN,Kenya,2023,28768666.0,,,49.5263223856783,6.21662477880402,0.69,11.1,13123.0,315.0,432.0,6.6890712916849,50.4968660505575,,38347.1992,3.4653254750743527,4.23500126716948,4.0
KIR,Kiribati,2023,34000.0,,,41.9753086419753,1.45679012345679,0.98,0.03,2541.0,9.0,37.0,,,,,,3.193757499869568e-06,1.0
KWT,Kuwait,2023,150000.0,,,8.41750841750842,0.350729517396184,,16.49,1973.0,9.0,25.0,,,11.168358004078929,,192.24928042118864,68.10084228085992,
KGZ,Kyrgyzstan,2023,10358844.0,,,54.0085714285714,7.14337851929093,0.42,1.66,4974.0,60.0,164.0,,,5456.523684031705,12648247.0,5.636687618423037,5.838133573625057,1.0
LAO,Laos,2023,2287200.0,,,9.90987868284229,71.4558058925477,0.12,2.54,14918.0,100.0,209.0,,,,,0.298350403730018,1.4767406775819132,1.0
LVA,Latvia,2023,1971000.0,,,31.6728266109593,54.9959826450265,1.22,3.21,26810.0,15.0,454.0,,,14088.968606102562,141420.0,1.9257103654920715,17.683591890070822,1.0
LBN,Lebanon,2023,674213.8,,,65.9055522971652,14.1867057673509,6.62,7.35,6380.0,24.0,147.0,,,851.8549453088349,100492.0,20.126784706823045,14.995731450752036,1.0
LSO,Lesotho,2023,2360748.0,,,77.7584980237154,1.13702239789196,1.53,0.42,8879.0,3.0,92.0,,,,282.279,,2.7131239446350794,3.0
LBR,Liberia,2023,1923040.0,,,19.9651162790698,78.1422342192691,1.49,0.37,5719.0,33.0,55.0,5.43925033588644,3.0891744275048,,,,21.33268249536416,
LBY,Libya,2023,15350000.0,,,8.72387101174171,0.123327687918433,0.84,17.38,3296.0,1.0,33.0,,,,,,,
LIE,Liechtenstein,2023,5170.0,,,32.3125,41.875,,,32971.0,0.0,440.0,,,,8603.966,,,
LTU,Lithuania,2023,2873000.0,,,45.8945686900959,35.2301501597444,1.29,6.26,23621.0,4.0,320.0,,,3027.941054438076,257581.0,4.022033982527229,18.2974290017598,1.0
LUX,Luxembourg,2023,132998.2,,,51.6606200912036,34.4538272103664,1.85,5.12,35680.0,25.0,438.0,,,2903.842006346859,250145.0,1.180764266711274,21.064773265792034,
